Year_Month,Travel_Mode,Card_type,Trip
2017-05,Train,Sgl Trip Rail Child/Youth,50537
2017-06,Bus,Adult,13139949
2017-06,Bus,Adult Single Bus Trip 1,149534
2017-06,Bus,Adult Single Bus Trip 2,90172
2017-06,Bus,Adult Single Bus Trip 3,35967
2017-06,Bus,Child/Youth,1066813
2017-06,Bus,Child/Youth Single Bus Trip 1,38891
2017-06,Bus,Child/Youth Single Bus Trip 2,25954
2017-06,Bus,Child/Youth Single Bus Trip 3,7945
2017-06,Bus,Concession,1472712
2017-06,Bus,Employee,69266
2017-06,Bus,Free Travel,35256
2017-06,Bus,School Student,2499684
2017-06,Bus,Senior/Pensioner,3904931
2017-06,Ferry,Adult,791353
2017-06,Ferry,Child/Youth,94767
2017-06,Ferry,Concession,26673
2017-06,Ferry,Employee,5164
2017-06,Ferry,Free Travel,2211
2017-06,Ferry,School Student,1764
2017-06,Ferry,Senior/Pensioner,180835
2017-06,Ferry,Sgl Trip Ferry Adult,42949
2017-06,Ferry,Sgl Trip Ferry Child/Youth,10431
2017-06,Light rail,Adult,615981
2017-06,Light rail,Child/Youth,39888
2017-06,Light rail,Concession,33781
2017-06,Light rail,Employee,1
2017-06,Light rail,Free Travel,956
2017-06,Light rail,School Student,4961
2017-06,Light rail,Senior/Pensioner,148978
2017-06,Light rail,Sgl Trip LR Adult,2837
2017-06,Light rail,Sgl Trip LR Child/Youth,623
2017-06,Train,Adult,24096554
2017-06,Train,Child/Youth,1076221
2017-06,Train,Concession,1944290
2017-06,Train,Employee,308301
2017-06,Train,Free Travel,31954
2017-06,Train,School Student,1054982
2017-06,Train,Senior/Pensioner,2840831
2017-06,Train,Sgl Trip Rail Adult,293213
2017-06,Train,Sgl Trip Rail Child/Youth,60524
2017-07,Bus,Adult,13625495
2017-07,Bus,Adult Single Bus Trip 1,159698
2017-07,Bus,Adult Single Bus Trip 2,96674
2017-07,Bus,Adult Single Bus Trip 3,36141
2017-07,Bus,Child/Youth,1386168
2017-07,Bus,Child/Youth Single Bus Trip 1,55170
2017-07,Bus,Child/Youth Single Bus Trip 2,42041
2017-07,Bus,Child/Youth Single Bus Trip 3,12555
2017-07,Bus,Concession,1361714
2017-07,Bus,Employee,71153
2017-07,Bus,Free Travel,36248
2017-07,Bus,School Student,1298172
2017-07,Bus,Senior/Pensioner,4020743
2017-07,Ferry,Adult,858171
2017-07,Ferry,CTP,2138
2017-07,Ferry,Child/Youth,157889
2017-07,Ferry,Concession,26169
2017-07,Ferry,Employee,4730
2017-07,Ferry,Free Travel,2328
2017-07,Ferry,School Student,1043
2017-07,Ferry,Senior/Pensioner,180265
2017-07,Ferry,Sgl Trip Ferry Adult,55823
2017-07,Ferry,Sgl Trip Ferry Child/Youth,20097
2017-07,Light rail,Adult,607262
2017-07,Light rail,Child/Youth,51615
2017-07,Light rail,Concession,30979
2017-07,Light rail,Employee,1
2017-07,Light rail,Free Travel,665
2017-07,Light rail,School Student,2976
2017-07,Light rail,Senior/Pensioner,135655
2017-07,Light rail,Sgl Trip LR Adult,4507
2017-07,Light rail,Sgl Trip LR Child/Youth,1486
2017-07,Train,Adult,23827242
2017-07,Train,Child/Youth,1407616
2017-07,Train,Concession,1719629
2017-07,Train,Employee,294034
2017-07,Train,Free Travel,32228
2017-07,Train,School Student,562500
2017-07,Train,Senior/Pensioner,2804836
2017-07,Train,Sgl Trip Rail Adult,330262
2017-07,Train,Sgl Trip Rail Child/Youth,92187
2017-08,Bus,Adult,14614966
2017-08,Bus,Adult Single Bus Trip 1,152050
2017-08,Bus,Adult Single Bus Trip 2,88604
2017-08,Bus,Adult Single Bus Trip 3,33402
2017-08,Bus,Child/Youth,1129569
2017-08,Bus,Child/Youth Single Bus Trip 1,37346
2017-08,Bus,Child/Youth Single Bus Trip 2,24122
2017-08,Bus,Child/Youth Single Bus Trip 3,6683
2017-08,Bus,Concession,2287083
2017-08,Bus,Day Pass Child/Youth w/o SAF,7
2017-08,Bus,Day Pass without SAF,15
2017-08,Bus,Employee,75220
2017-08,Bus,Free Travel,39408
2017-08,Bus,School Student,2871680
2017-08,Bus,Senior/Pensioner,4196065
2017-08,Ferry,Adult,759500
2017-08,Ferry,CTP,1976
2017-08,Ferry,Child/Youth,79252
2017-08,Ferry,Concession,27276
2017-08,Ferry,Day Pass Child/Youth w/o SAF,3
2017-08,Ferry,Day Pass without SAF,5
2017-08,Ferry,Employee,4423
2017-08,Ferry,Free Travel,2045
2017-08,Ferry,School Student,2206
2017-08,Ferry,Senior/Pensioner,164130
2017-08,Ferry,Sgl Trip Ferry Adult,47631
2017-08,Ferry,Sgl Trip Ferry Child/Youth,11008
2017-08,Light rail,Adult,575024
2017-08,Light rail,Child/Youth,33221
2017-08,Light rail,Concession,33944
2017-08,Light rail,Day Pass Child/Youth w/o SAF,3
2017-08,Light rail,Day Pass without SAF,2
2017-08,Light rail,Free Travel,840
2017-08,Light rail,School Student,7008
2017-08,Light rail,Senior/Pensioner,125345
2017-08,Light rail,Sgl Trip LR Adult,4398
2017-08,Light rail,Sgl Trip LR Child/Youth,905
2017-08,Train,Adult,25596844
2017-08,Train,Child/Youth,983919
2017-08,Train,Concession,2822581
2017-08,Train,Day Pass Child/Youth w/o SAF,9
2017-08,Train,Day Pass without SAF,18
2017-08,Train,Employee,316870
2017-08,Train,Free Travel,34768
2017-08,Train,School Student,1234164
2017-08,Train,Senior/Pensioner,2902953
2017-08,Train,Sgl Trip Rail Adult,329921
2017-08,Train,Sgl Trip Rail Child/Youth,63560
2017-09,Bus,Adult,13735459
2017-09,Bus,Adult Single Bus Trip 1,150254
2017-09,Bus,Adult Single Bus Trip 2,85965
2017-09,Bus,Adult Single Bus Trip 3,32005
2017-09,Bus,Child/Youth,1264103
2017-09,Bus,Child/Youth Single Bus Trip 1,45357
2017-09,Bus,Child/Youth Single Bus Trip 2,34037
2017-09,Bus,Child/Youth Single Bus Trip 3,9811
2017-09,Bus,Concession,1774365
2017-09,Bus,Day Pass Child/Youth w/o SAF,31
2017-09,Bus,Day Pass without SAF,152
2017-09,Bus,Employee,70403
2017-09,Bus,Free Travel,37030
2017-09,Bus,School Student,1932171
2017-09,Bus,Senior/Pensioner,3987618
2017-09,Ferry,Adult,810739
2017-09,Ferry,CTP,2049
2017-09,Ferry,Child/Youth,113007
